# File Name: /Users/easosa/Desktop/09.10.2024 GEMM Inducible Myc_20240910_104642.eds
# Comment: 
# Operator: Prem P.
# Barcode: H3U0BT8D
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-5
# Instrument Serial Number: 2778721110069
# Heated Cover Serial Number: 2779322062073
# Block serial number: 2778322122567
# Run Start Date/Time: 2024-09-10 10:50:06 AM EDT
# Run End Data/Time: 2024-09-10 11:39:33 AM EDT
# Run Duration: 49 minutes 26 seconds
# Sample Volume: 5.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-09-14 08:30:48 PM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-09-14 08:30:57 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"74","D2","FALSE","K70 +dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4746403665343273","","","17.256518396633844","0.9137549715300104","17.19211336043909","0.05863171128518246","TRUE","13862.15352123108","TRUE","3","10"
"75","D3","FALSE","K70 +dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6232073748733056","","","27.838941182534917","0.9211565505564508","27.786991396038257","0.1292008311747187","TRUE","35216.625512607425","TRUE","3","20"
"75","D3","FALSE","K70 +dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4843666480930486","","","17.141836798719332","0.929796888518613","17.19211336043909","0.05863171128518246","TRUE","13862.15352123108","TRUE","3","10"
"97","E1","FALSE","K71 d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6355879872044667","","","29.997219213059978","0.9241169836612019","29.94082809502846","0.08155694819952206","TRUE","35216.625512607425","TRUE","3","22"
"97","E1","FALSE","K71 d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.48823631863001","","","17.691039830441525","0.9253835725158589","17.78961563398194","0.15657808503888015","TRUE","13862.15352123108","TRUE","3","12"
"98","E2","FALSE","K71 d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6145301372043375","","","29.977951500754124","0.9193039882580122","29.94082809502846","0.08155694819952206","TRUE","35216.625512607425","TRUE","3","21"
"98","E2","FALSE","K71 d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4780209639944637","","","17.970162078071212","0.9401933206714468","17.78961563398194","0.15657808503888015","TRUE","13862.15352123108","TRUE","3","12"
"99","E3","FALSE","K71 d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6284197905663644","","","29.84731357127128","0.918179726200951","29.94082809502846","0.08155694819952206","TRUE","35216.625512607425","TRUE","3","22"
"99","E3","FALSE","K71 d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4906021841723196","","","17.707644993433078","0.9379666237299881","17.78961563398194","0.15657808503888015","TRUE","13862.15352123108","TRUE","3","12"
"121","F1","FALSE","K71 +dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.633970794114838","","","29.298248487815584","0.9277648541860621","29.426163565894797","0.12302162775006777","TRUE","35216.625512607425","TRUE","3","21"
"121","F1","FALSE","K71 +dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4896345488250042","","","18.016386676904958","0.9361239354183181","17.992940739578682","0.021328909724125","TRUE","13862.15352123108","TRUE","3","13"
"122","F2","FALSE","K71 +dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.628263151101028","","","29.54362456738579","0.9224773741000263","29.426163565894797","0.12302162775006777","TRUE","35216.625512607425","TRUE","3","22"
"122","F2","FALSE","K71 +dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.48862962030316","","","17.974687961794274","0.930172613439686","17.992940739578682","0.021328909724125","TRUE","13862.15352123108","TRUE","3","13"
"123","F3","FALSE","K71 +dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6358996100568133","","","29.436617642483014","0.9251189705083467","29.426163565894797","0.12302162775006777","TRUE","35216.625512607425","TRUE","3","23"
"123","F3","FALSE","K71 +dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4891040116907233","","","17.98774758003681","0.9327235423549004","17.992940739578682","0.021328909724125","TRUE","13862.15352123108","TRUE","3","12"
"145","G1","FALSE","K70 cre d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.632392591656784","","","29.679415818576963","0.9239880992290453","29.625728511325708","0.048400755177597676","TRUE","35216.625512607425","TRUE","3","21"
"145","G1","FALSE","K70 cre d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4896107390565865","","","17.14151343772638","0.9304466165834367","17.087426757486764","0.055711803336993965","TRUE","13862.15352123108","TRUE","3","12"
"146","G2","FALSE","K70 cre d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6407945125483687","","","29.612334314251136","0.923928984762787","29.625728511325708","0.048400755177597676","TRUE","35216.625512607425","TRUE","3","22"
"146","G2","FALSE","K70 cre d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.500021730601363","","","17.090545948701717","0.9051467148987751","17.087426757486764","0.055711803336993965","TRUE","13862.15352123108","TRUE","3","10"
"147","G3","FALSE","K70 cre d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6473459114735887","","","29.585435401149034","0.9225137882816288","29.625728511325708","0.048400755177597676","TRUE","35216.625512607425","TRUE","3","23"
"147","G3","FALSE","K70 cre d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.506575980477403","","","17.030220886032197","0.940881096600241","17.087426757486764","0.055711803336993965","TRUE","13862.15352123108","TRUE","3","10"
"169","H1","FALSE","K70 cre+dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.644294576902516","","","30.584087619905198","0.9142750141179758","30.651123326457554","0.07924168571801685","TRUE","35216.625512607425","TRUE","3","22"
"169","H1","FALSE","K70 cre+dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.49189078293233","","","17.394505952666165","0.9265791433390351","17.390316231444242","0.028173406383471933","TRUE","13862.15352123108","TRUE","3","12"
"170","H2","FALSE","K70 cre+dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6356971905358604","","","30.630706911487948","0.9142666741743862","30.651123326457554","0.07924168571801685","TRUE","35216.625512607425","TRUE","3","23"
"170","H2","FALSE","K70 cre+dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4904046080312368","","","17.416160152200973","0.9280951787970603","17.390316231444242","0.028173406383471933","TRUE","13862.15352123108","TRUE","3","10"
"171","H3","FALSE","K70 cre+dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6658631069914716","","","30.738575447979514","0.9222474014455395","30.651123326457554","0.07924168571801685","TRUE","35216.625512607425","TRUE","3","22"
"171","H3","FALSE","K70 cre+dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.5152551285723264","","","17.36028258946559","0.936899357256515","17.390316231444242","0.028173406383471933","TRUE","13862.15352123108","TRUE","3","12"
"193","I1","FALSE","K70 cre+dox d0-3,d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6432611791910148","","","27.615550189412303","0.9339150819429984","27.608908824010527","0.17939379905838868","TRUE","35216.625512607425","TRUE","3","20"
"193","I1","FALSE","K70 cre+dox d0-3,d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.5005634271222417","","","17.015672514378046","0.9466820706188185","16.99394761723843","0.049397341767766494","TRUE","13862.15352123108","TRUE","3","10"
"194","I2","FALSE","K70 cre+dox d0-3,d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6542025459504943","","","27.784889715033778","0.9261905015631193","27.608908824010527","0.17939379905838868","TRUE","35216.625512607425","TRUE","3","22"
"194","I2","FALSE","K70 cre+dox d0-3,d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.499803817268204","","","17.02875922045918","0.9444748225652093","16.99394761723843","0.049397341767766494","TRUE","13862.15352123108","TRUE","3","11"
"195","I3","FALSE","K70 cre+dox d0-3,d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.652900576305612","","","27.4262865675855","0.9291656441125734","27.608908824010527","0.17939379905838868","TRUE","35216.625512607425","TRUE","3","20"
"195","I3","FALSE","K70 cre+dox d0-3,d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.5043961310024256","","","16.93741111687806","0.9406921332508497","16.99394761723843","0.049397341767766494","TRUE","13862.15352123108","TRUE","3","11"
"217","J1","FALSE","K71 cre d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6458502093787533","","","29.788414658401877","0.9299724523356081","29.889367764826165","0.09690649234497209","TRUE","35216.625512607425","TRUE","3","22"
"217","J1","FALSE","K71 cre d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.489195873714133","","","17.239317113241455","0.9354408763883146","17.268337339833874","0.08800629734305832","TRUE","13862.15352123108","TRUE","3","11"
"218","J2","FALSE","K71 cre d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6431569261145595","","","29.981644090604227","0.9247452705708405","29.889367764826165","0.09690649234497209","TRUE","35216.625512607425","TRUE","3","20"
"218","J2","FALSE","K71 cre d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.490589375884354","","","17.36718889139415","0.9380011259862276","17.268337339833874","0.08800629734305832","TRUE","13862.15352123108","TRUE","3","11"
"219","J3","FALSE","K71 cre d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.658583273415438","","","29.898044545472388","0.9283063520278932","29.889367764826165","0.09690649234497209","TRUE","35216.625512607425","TRUE","3","23"
"219","J3","FALSE","K71 cre d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.49981390313134","","","17.19850601486602","0.9391250176460553","17.268337339833874","0.08800629734305832","TRUE","13862.15352123108","TRUE","3","11"
"241","K1","FALSE","K71 cre+dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6406008687037366","","","30.66104777463461","0.9181731792190705","30.8193267688906","0.16674922265946898","TRUE","35216.625512607425","TRUE","3","24"
"241","K1","FALSE","K71 cre+dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.502966437678991","","","17.33129537792886","0.9410339544760039","17.50193517142542","0.1570092833136343","TRUE","13862.15352123108","TRUE","3","9"
"242","K2","FALSE","K71 cre+dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6397406635184675","","","30.993419534739076","0.9400997506245825","30.8193267688906","0.16674922265946898","TRUE","35216.625512607425","TRUE","3","23"
"242","K2","FALSE","K71 cre+dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4930427182718553","","","17.64029713358662","0.9590713039084424","17.50193517142542","0.1570092833136343","TRUE","13862.15352123108","TRUE","3","10"
"243","K3","FALSE","K71 cre+dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6541150137506517","","","30.803512997298114","0.9152754205415846","30.8193267688906","0.16674922265946898","TRUE","35216.625512607425","TRUE","3","22"
"243","K3","FALSE","K71 cre+dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4995250141673178","","","17.534213002760772","0.9392386811231249","17.50193517142542","0.1570092833136343","TRUE","13862.15352123108","TRUE","3","11"
"265","L1","FALSE","K71 cre+dox d0-3, d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6309162904124697","","","28.568842160028154","0.9333272727098348","28.65119842483716","0.09251825450112157","TRUE","35216.625512607425","TRUE","3","21"
