# File Name: /shared/data/ui/current_run/01-15-2025-MX1-IFNa-IFNb-A549-Amel2_20250116_144056.eds
# Comment: 
# Operator: Prem P.
# Barcode: H3N02Y17
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-5
# Instrument Serial Number: 2778721110069
# Heated Cover Serial Number: 2779322062073
# Block Serial Number: 2778322122567
# Run Start Date/Time: 2025-01-16 04:41:55 PM EST
# Run End Date/Time: 2025-01-16 05:32:57 PM EST
# Run Duration: 51 minutes 1 seconds
# Sample Volume: 5.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-01-16 05:33:25 PM EST
# Exported On: 2025-01-16 05:33:26 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"29","B5","false","Sample 2","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3515604124627","","","28.99075852685635","0.9436901426337876","28.921550573716665","0.2406475726262816","true","12679.83571224284","true","3","20"
"30","B6","false","Sample 2","IFNa2","UNKNOWN","FAM","NFQ-MGB","Inconclusive","2.519337831036236","","","36.31227132766149","0.7993313175283495","36.5241450280655","0.4295917612058301","true","18886.582361434972","true","3","29"
"30","B6","false","Sample 2","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.358121239521402","","","29.18426712771266","0.9249573854446","28.921550573716665","0.2406475726262816","true","12679.83571224284","true","3","22"
"31","B7","false","Sample 2","IFNa2","UNKNOWN","FAM","NFQ-MGB","Inconclusive","2.3934560287212667","","","37.01851621326354","0.8061665553513377","36.5241450280655","0.4295917612058301","true","18886.582361434972","true","3","32"
"31","B7","false","Sample 2","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3515190052844974","","","29.346698067900284","0.9439687010990407","28.921550573716665","0.2406475726262816","true","12679.83571224284","true","3","23"
"33","B9","false","Sample 2","IFNb1","UNKNOWN","FAM","NFQ-MGB","Amp","2.4236220672073006","","","34.80539533361437","0.8087888018872132","34.33606864571949","0.6637281672045215","true","10459.134441064032","true","3","29"
"33","B9","false","Sample 2","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3753909561490585","","","28.979951435036803","0.9391958472035601","28.921550573716665","0.2406475726262816","true","12679.83571224284","true","3","22"
"34","B10","false","Sample 2","IFNb1","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","10459.134441064032","true","3","39"
"34","B10","false","Sample 2","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3782207010912995","","","28.98530630917824","0.9231857578096492","28.921550573716665","0.2406475726262816","true","12679.83571224284","true","3","20"
"35","B11","false","Sample 2","IFNb1","UNKNOWN","FAM","NFQ-MGB","Amp","2.4445612595367003","","","33.866741957824615","0.9249941732030463","34.33606864571949","0.6637281672045215","true","10459.134441064032","true","3","29"
